Favorite Count,Author,Link to Author,Cartridge Title,Link to Cart
965,noel,https://www.lexaloffle.com/bbs/?uid=10070,Celeste,https://www.lexaloffle.com/bbs/?tid=2145
363,bridgs,https://www.lexaloffle.com/bbs/?uid=16414,Just One Boss,https://www.lexaloffle.com/bbs/?tid=30767
347,krajzeg,https://www.lexaloffle.com/bbs/?uid=12861,The Lair - now at a silky smooth 60 fps!,https://www.lexaloffle.com/bbs/?tid=4051
329,noel,https://www.lexaloffle.com/bbs/?uid=10070,celeste classic 2,https://www.lexaloffle.com/bbs/?tid=41282
324,SophieHoulden,https://www.lexaloffle.com/bbs/?uid=10355,Dusk Child,https://www.lexaloffle.com/bbs/?tid=2274
312,pirx_vr,https://www.lexaloffle.com/bbs/?uid=42338,PICOHOT,https://www.lexaloffle.com/bbs/?tid=37236
270,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,Mistigri,https://www.lexaloffle.com/bbs/?tid=3421
264,CarsonK,https://www.lexaloffle.com/bbs/?uid=46088,Pico Night Punkin' - FNF Demake,https://www.lexaloffle.com/bbs/?tid=42715
253,Jusiv,https://www.lexaloffle.com/bbs/?uid=24585,FUZ,https://www.lexaloffle.com/bbs/?tid=34188
249,krajzeg,https://www.lexaloffle.com/bbs/?uid=12861,Dank Tomb is out!,https://www.lexaloffle.com/bbs/?tid=29709
245,impbox,https://www.lexaloffle.com/bbs/?uid=10242,PICORACER-2048,https://www.lexaloffle.com/bbs/?tid=2243
242,cubee,https://www.lexaloffle.com/bbs/?uid=42963,Terra - A Terraria Demake,https://www.lexaloffle.com/bbs/?tid=44606
241,szczm_,https://www.lexaloffle.com/bbs/?uid=37261,PICOWARE,https://www.lexaloffle.com/bbs/?tid=34751
226,CarsonK,https://www.lexaloffle.com/bbs/?uid=46088,ISLANDER - Idle Crafting Game,https://www.lexaloffle.com/bbs/?tid=39471
225,paranoidcactus,https://www.lexaloffle.com/bbs/?uid=29414,X-Zero,https://www.lexaloffle.com/bbs/?tid=36053
220,Krystman,https://www.lexaloffle.com/bbs/?uid=16423,High Stakes,https://www.lexaloffle.com/bbs/?tid=40099
214,electricgryphon,https://www.lexaloffle.com/bbs/?uid=10844,Pico Fox,https://www.lexaloffle.com/bbs/?tid=28067
214,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,PAT Shooter,https://www.lexaloffle.com/bbs/?tid=1867
213,Yolwoocle,https://www.lexaloffle.com/bbs/?uid=47064,Birds With Guns (100 000th post!),https://www.lexaloffle.com/bbs/?tid=45334
211,Krystman,https://www.lexaloffle.com/bbs/?uid=16423,Porklike,https://www.lexaloffle.com/bbs/?tid=37045
208,lucatron,https://www.lexaloffle.com/bbs/?uid=10152,Marballs 2,https://www.lexaloffle.com/bbs/?tid=28414
